label,text,cleaned_text,topic,topic_name
neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",according gran company plan move production russia although company growing,108,russia
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",technopolis plan develop stage area less NUM square meter order host company working computer technology telecommunication statement said,4,sq
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",international electronic industry company elcoteq laid ten employee tallinn facility contrary earlier layoff company contracted rank office worker daily postimees reported,50,elcoteq
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,new production plant company would increase capacity meet expected increase demand would improve use raw material therefore increase production profitability,6,paper
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",according company updated strategy year NUM NUM basware target longterm net sale growth range NUM_PERCENT NUM_PERCENT operating profit margin NUM_PERCENT NUM_PERCENT net sale,29,basware
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit board pcbs,24,aspo
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",last quarter NUM componenta net sale doubled CUR 131m CUR 76m period year earlier moved zero pretax profit pretax loss CUR 7m,-1,Outlier
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",third quarter NUM net sale increased NUM_PERCENT CUR NUM mn operating profit NUM_PERCENT CUR NUM mn,17,sales
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,operating profit rose CUR NUM mn CUR NUM mn corresponding period NUM representing NUM_PERCENT net sale,32,mn
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",operating profit totalled CUR NUM mn CUR NUM mn NUM representing NUM_PERCENT net sale,-1,Outlier
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,teliasonera tlsn said offer line strategy increase ownership core business holding would strengthen eesti telekom offering customer,-1,Outlier
positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised fair value share four largest nordic forestry group,18,enso
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",purchase agreement NUM ton gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight u CUR per month,41,mln
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",finnish talentum report operating profit increased CUR NUM mn NUM CUR NUM mn NUM net sale totaled CUR NUM mn CUR NUM mn,-1,Outlier
positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",clothing retail chain seppælæ sale increased NUM_PERCENT CUR NUM mn operating profit rose CUR NUM mn CUR NUM mn NUM,-1,Outlier
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",consolidated net sale increased NUM_PERCENT reach CUR NUM NUM operating profit amounted CUR NUM NUM compared loss CUR NUM NUM prior year period,53,respectively
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",foundry division report sale increased NUM_PERCENT CUR NUM mn CUR NUM mn corresponding period NUM sale machine shop division increased NUM_PERCENT CUR NUM mn CUR NUM mn corresponding period NUM,-1,Outlier
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",helsinki afx share closed higher led nokia announced plan team sanyo manufacture 3g handset nokian tyre fourthquarter earnings report beat analyst expectation dealer said,-1,Outlier
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",incap contract manufacturing service pvt ltd subsidiary incap corporation finland plan double revenue NUM NUM,45,incap
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",board director propose dividend CUR NUM NUM per share NUM CUR NUM NUM per share paid NUM,37,dividend
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",lifetree founded NUM revenue risen average NUM_PERCENT margin late 30,13,million
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",filippova trilateral agreement investment construction technology park st petersburg signed course forum day russian economy opened helsinki today,4,sq
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",megafon subscriber base increased NUM_PERCENT NUM NUM million user december NUM market share number customer amounted NUM_PERCENT late NUM NUM_PERCENT late NUM according teliasonera estimate,-1,Outlier
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",net income life insurance doubled CUR NUM mn CUR NUM mn net income nonlife insurance rose CUR NUM mn CUR NUM mn corresponding period NUM,82,income
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),net sale increased CUR NUM NUM CUR NUM NUM pretax profit rose NUM_PERCENT CUR NUM NUM CUR NUM CUR NUM NUM,35,pretax
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sale surged NUM_PERCENT CUR NUM NUM teleste said CUR NUM NUM NUM_PERCENT sale came acquisition made NUM,17,sales
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,nordea group operating profit increased NUM NUM percent yearonyear NUM billion euro total revenue NUM percent NUM billion euro,13,million
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",operating profit ninemonth period increased CUR NUM NUM net sale increased CUR NUM NUM compared corresponding period NUM,53,respectively
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",operating profit ninemonth period increased CUR NUM NUM net sale increased CUR NUM NUM compared corresponding period NUM,53,respectively
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",operating profit threemonth period increased CUR NUM NUM revenue increased CUR NUM NUM compared corresponding period NUM,53,respectively
